ticker,company_name,sector,rating_agency,rating,rating_numeric,fiscal_year,source,liquid,cumprof,profitab,leverage,total_assets,total_liabilities,total_equity,has_financials,rating_category
2222.SR,Saudi Aramco,Energy,Moodys,AA-,18,2024, argaam_oct2025,0.09743318905938612,0.5538972532936133,0.327009485771343,2.1382991809912273,2423630000000.0,772275000000.0,1651355000000.0,True,AA
2222.SR,Saudi Aramco,Energy,Fitch,A+,17,2024, argaam_oct2025,0.09743318905938612,0.5538972532936133,0.327009485771343,2.1382991809912273,2423630000000.0,772275000000.0,1651355000000.0,True,A
2382.SR,ADES,Energy,Fitch,B+,8,2024,argaam_oct2025,0.00971575254904481,0.11312848813312318,0.08250250015141924,0.4332457341624706,21628690000.0,15090706000.0,6537984000.0,True,BB
2382.SR,ADES,Energy,S&P,B+,8,2024,argaam_oct2025,0.00971575254904481,0.11312848813312318,0.08250250015141924,0.4332457341624706,21628690000.0,15090706000.0,6537984000.0,True,BB
1202.SR,MEPCO,Materials,Financial Analytics,A-,15,2024,argaam_oct2025,0.23958393944680365,0.07202462018352776,-0.009545172949546573,1.6691931851363335,2558600261.0,958566909.0,1600033352.0,True,A
1211.SR,Maaden,Materials,Moodys,BBB+,14,2024,argaam_oct2025,0.08229946149256538,0.0873914626383562,0.060389038978256614,1.0950809143529225,115089370018.0,54933138491.0,60156231527.0,True,BBB
1211.SR,Maaden,Materials,Fitch,BBB+,14,2024,argaam_oct2025,0.08229946149256538,0.0873914626383562,0.060389038978256614,1.0950809143529225,115089370018.0,54933138491.0,60156231527.0,True,BBB
2010.SR,SABIC,Materials,Moodys,A,16,2024,argaam_oct2025,0.16546571367929075,0.07214108004562124,0.025031390593800613,1.9544837391850092,278018793000.0,94100634000.0,183918159000.0,True,A
2010.SR,SABIC,Materials,Fitch,A+,17,2024,argaam_oct2025,0.16546571367929075,0.07214108004562124,0.025031390593800613,1.9544837391850092,278018793000.0,94100634000.0,183918159000.0,True,A
2010.SR,SABIC,Materials,S&P,A+,17,2024,argaam_oct2025,0.16546571367929075,0.07214108004562124,0.025031390593800613,1.9544837391850092,278018793000.0,94100634000.0,183918159000.0,True,A
3008.SR,Al Kathiri Holding,Materials,Financial Analytics,BBB-,12,2024,argaam_oct2025,0.2780411373225696,-0.04654324080760305,-0.026065896695959774,0.6415755178993517,287612933.0,175205423.0,112407510.0,True,BBB
4290.SR,Alkhaleej Training,Consumer Services,Tassnief,BBB+,14,2024,argaam_oct2025,0.02559636906571332,-0.01289461797461858,0.0860367617468628,0.3609582967261378,2151095058.0,1580573823.0,570521235.0,True,BBB
4290.SR,Alkhaleej Training,Consumer Services,Financial Analytics,A-,15,2024,argaam_oct2025,0.02559636906571332,-0.01289461797461858,0.0860367617468628,0.3609582967261378,2151095058.0,1580573823.0,570521235.0,True,A
2280.SR,Almarai,Food & Beverages,Moodys,BBB-,12,2024,argaam_oct2025,0.08281419569747604,0.21575519090777204,0.08551198887987953,1.1200646510770689,35567960000.0,16776828000.0,18791132000.0,True,BBB
2280.SR,Almarai,Food & Beverages,S&P,BBB-,12,2024,argaam_oct2025,0.08281419569747604,0.21575519090777204,0.08551198887987953,1.1200646510770689,35567960000.0,16776828000.0,18791132000.0,True,BBB
1010.SR,Riyad Bank,Banks,Moodys,A+,17,2024,argaam_oct2025,,0.029596397281301357,,0.17856898560575157,451402881000.0,383009299000.0,68393582000.0,True,A
1010.SR,Riyad Bank,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.029596397281301357,,0.17856898560575157,451402881000.0,383009299000.0,68393582000.0,True,A
1010.SR,Riyad Bank,Banks,S&P,A,16,2024,argaam_oct2025,,0.029596397281301357,,0.17856898560575157,451402881000.0,383009299000.0,68393582000.0,True,A
1020.SR,Bank AlJazira,Banks,Moodys,A-,15,2024,argaam_oct2025,,0.016516285237758343,,0.1322228705682061,149118701000.0,131704371000.0,17414330000.0,True,A
1020.SR,Bank AlJazira,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.016516285237758343,,0.1322228705682061,149118701000.0,131704371000.0,17414330000.0,True,A
1030.SR,SAIB,Banks,Moodys,A,16,2024,argaam_oct2025,,0.01348305135549939,,0.15248571198676833,156666688000.0,135938074000.0,20728614000.0,True,A
1030.SR,SAIB,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.01348305135549939,,0.15248571198676833,156666688000.0,135938074000.0,20728614000.0,True,A
1030.SR,SAIB,Banks,S&P,BBB+,14,2024,argaam_oct2025,,0.01348305135549939,,0.15248571198676833,156666688000.0,135938074000.0,20728614000.0,True,BBB
1050.SR,BSF,Banks,Moodys,A+,17,2024,argaam_oct2025,,0.01537584440917956,,0.19148618674692383,293306558000.0,246168660000.0,47137898000.0,True,A
1050.SR,BSF,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.01537584440917956,,0.19148618674692383,293306558000.0,246168660000.0,47137898000.0,True,A
1050.SR,BSF,Banks,S&P,A-,15,2024,argaam_oct2025,,0.01537584440917956,,0.19148618674692383,293306558000.0,246168660000.0,47137898000.0,True,A
1060.SR,SAB,Banks,Moodys,A+,17,2024,argaam_oct2025,,0.02870093976331916,,0.20620509341703464,399442809000.0,331156626000.0,68286183000.0,True,A
1060.SR,SAB,Banks,Fitch,BBB+,14,2024,argaam_oct2025,,0.02870093976331916,,0.20620509341703464,399442809000.0,331156626000.0,68286183000.0,True,BBB
1080.SR,ANB,Banks,Moodys,A+,17,2024,argaam_oct2025,,0.024694023131838414,,0.18405987894856346,248839971000.0,210158266000.0,38681705000.0,True,A
1080.SR,ANB,Banks,Fitch,BBB+,14,2024,argaam_oct2025,,0.024694023131838414,,0.18405987894856346,248839971000.0,210158266000.0,38681705000.0,True,BBB
1080.SR,ANB,Banks,S&P,BBB+,14,2024,argaam_oct2025,,0.024694023131838414,,0.18405987894856346,248839971000.0,210158266000.0,38681705000.0,True,BBB
1120.SR,Al Rajhi Bank,Banks,Moodys,AA-,18,2024,argaam_oct2025,,0.02202417229520981,,0.14498821173365276,972444354000.0,849305123000.0,123139231000.0,True,AA
1120.SR,Al Rajhi Bank,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.02202417229520981,,0.14498821173365276,972444354000.0,849305123000.0,123139231000.0,True,A
1120.SR,Al Rajhi Bank,Banks,S&P,A,16,2024,argaam_oct2025,,0.02202417229520981,,0.14498821173365276,972444354000.0,849305123000.0,123139231000.0,True,A
1140.SR,Bank Albilad,Banks,Moodys,A,16,2024,argaam_oct2025,,0.012061676993546279,,0.12072795327527358,154964687000.0,138271457000.0,16693230000.0,True,A
1140.SR,Bank Albilad,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.012061676993546279,,0.12072795327527358,154964687000.0,138271457000.0,16693230000.0,True,A
1150.SR,Alinma Bank,Banks,Moodys,A,16,2024,argaam_oct2025,,0.011517248896253909,,0.1760590126912804,276827481000.0,235385706000.0,41441775000.0,True,A
1150.SR,Alinma Bank,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.011517248896253909,,0.1760590126912804,276827481000.0,235385706000.0,41441775000.0,True,A
1150.SR,Alinma Bank,Banks,S&P,A-,15,2024,argaam_oct2025,,0.011517248896253909,,0.1760590126912804,276827481000.0,235385706000.0,41441775000.0,True,A
1180.SR,SNB,Banks,Moodys,AA-,18,2024,argaam_oct2025,,0.012997443908762635,,0.21218535127250915,1104154640000.0,910879379000.0,193275261000.0,True,AA
1180.SR,SNB,Banks,Fitch,A-,15,2024,argaam_oct2025,,0.012997443908762635,,0.21218535127250915,1104154640000.0,910879379000.0,193275261000.0,True,A
1180.SR,SNB,Banks,S&P,A-,15,2024,argaam_oct2025,,0.012997443908762635,,0.21218535127250915,1104154640000.0,910879379000.0,193275261000.0,True,A
8010.SR,Tawuniya,Insurance,Fitch,A,16,2024,argaam_oct2025,,0.06901698590582901,,0.27112180336707986,20995701000.0,16517458000.0,4478243000.0,True,A
