ticker,company_name,sector,rating_agency,rating,rating_numeric,fiscal_year,source,has_financials,liquid,cumprof,profitab,leverage,rating_category
2222.SR,Saudi Aramco,Energy,Fitch,A,16,2019,fitch_confirmed,False,,,,,A
2222.SR,Saudi Aramco,Energy,Fitch,A,16,2020,fitch_confirmed,False,,,,,A
2222.SR,Saudi Aramco,Energy,Fitch,A,16,2021,fitch_confirmed,True,0.1421438116419829,0.4709149253938382,0.36139206266270246,1.4519683182505652,A
2222.SR,Saudi Aramco,Energy,Fitch,A,16,2022,fitch_confirmed,True,0.19741676842133976,0.5374780779518349,0.46605672695998757,2.0152314348367213,A
2222.SR,Saudi Aramco,Energy,Fitch,A+,17,2023,fitch_confirmed,True,0.15960031316335344,0.5696158906188205,0.36169277706481995,2.344734682417986,A
2222.SR,Saudi Aramco,Energy,Fitch,A+,17,2024,fitch_confirmed,True,0.09743318905938612,0.5538972532936133,0.327009485771343,2.1382991809912273,A
2010.SR,SABIC,Materials,Fitch,A,16,2019,fitch_confirmed,False,,,,,A
2010.SR,SABIC,Materials,Fitch,A,16,2020,fitch_confirmed,False,,,,,A
2010.SR,SABIC,Materials,Fitch,A,16,2021,fitch_confirmed,True,0.17886227656737264,0.08703328099789837,0.11220723081219425,1.9701385660222375,A
2010.SR,SABIC,Materials,Fitch,A,16,2022,fitch_confirmed,True,0.18723287724801357,0.10248426971894936,0.08531532009192917,2.278987802915612,A
2010.SR,SABIC,Materials,Fitch,A+,17,2023,fitch_confirmed,True,0.1623883407937302,0.09550953164345821,0.023515128047684117,1.9706019837290012,A
2010.SR,SABIC,Materials,Fitch,A+,17,2024,fitch_confirmed,True,0.16546571367929075,0.07214108004562124,0.025031390593800613,1.9544837391850092,A
5110.SR,Saudi Electricity,Utilities,Fitch,A,16,2019,fitch_confirmed,False,,,,,A
5110.SR,Saudi Electricity,Utilities,Fitch,A,16,2020,fitch_confirmed,False,,,,,A
5110.SR,Saudi Electricity,Utilities,Fitch,A,16,2021,fitch_confirmed,True,-0.0655995936378185,0.07480005581335321,0.03677510315419443,1.1270477272268573,A
5110.SR,Saudi Electricity,Utilities,Fitch,A,16,2022,fitch_confirmed,True,-0.025113037929368774,0.07983906391757284,0.03828076291137934,1.1556435085980803,A
5110.SR,Saudi Electricity,Utilities,Fitch,A+,17,2023,fitch_confirmed,True,-0.0476821369441999,0.07578576564782642,0.029073280945342513,1.0484581028565396,A
5110.SR,Saudi Electricity,Utilities,Fitch,A+,17,2024,fitch_confirmed,True,-0.05082833356865925,0.07480473476080919,0.022115121164303073,0.8502550575355645,A
1211.SR,Maaden,Materials,Fitch,BBB+,14,2023,fitch_confirmed,True,0.12950037535408115,0.08641176599810356,0.04293293717596355,1.031909883761302,BBB
