ticker,company_name,rating_agency,rating,fiscal_year,binary_target,liquid,cumprof,profitab,leverage
1211.SR,Maaden,Fitch,BBB+,2023,1,0.1295003753540811,0.0864117659981035,0.0429329371759635,1.031909883761302
1211.SR,Maaden,Fitch,BBB+,2024,1,0.0822994614925653,0.0873914626383562,0.0603890389782566,1.0950809143529223
2010.SR,SABIC,Fitch,A,2021,0,0.1788622765673726,0.0870332809978983,0.1122072308121942,1.9701385660222368
2010.SR,SABIC,Fitch,A,2022,0,0.1872328772480135,0.1024842697189493,0.0853153200919291,2.278987802915612
2010.SR,SABIC,Fitch,A+,2023,0,0.1623883407937302,0.0955095316434582,0.0235151280476841,1.9706019837290008
2010.SR,SABIC,Fitch,A+,2024,0,0.1654657136792907,0.0721410800456212,0.0250313905938006,1.9544837391850087
2082.SR,ACWA Power,Fitch,BBB-,2021,1,0.1002529321662148,0.0286121910538777,0.041398378925604,0.4562218908275255
2082.SR,ACWA Power,Fitch,BBB-,2022,1,0.1413959241631645,0.0426003441024347,0.0547407644282265,0.695007406256873
2082.SR,ACWA Power,Fitch,BBB-,2023,1,0.1153401574610228,0.0590240006264096,0.059758301572091,0.6035919344956632
2082.SR,ACWA Power,Fitch,BBB-,2024,1,0.096245983796903,0.0856550143729097,0.0583149999931437,0.7461273149897591
2222.SR,Saudi Aramco,Fitch,A,2021,0,0.1421438116419829,0.4709149253938382,0.3613920626627024,1.4519683182505652
2222.SR,Saudi Aramco,Fitch,A,2022,0,0.1974167684213397,0.5374780779518349,0.4660567269599875,2.0152314348367213
2222.SR,Saudi Aramco,Fitch,A+,2023,0,0.1596003131633534,0.5696158906188205,0.3616927770648199,2.344734682417986
2222.SR,Saudi Aramco,Fitch,A+,2024,0,0.0974331890593861,0.5538972532936133,0.327009485771343,2.138299180991228
2382.SR,ADES,Fitch,B+,2023,1,-0.0407601470710289,0.0886361824964221,0.0661579701677213,0.4233548018785618
2382.SR,ADES,Fitch,B+,2024,1,0.0097157525490448,0.1131284881331231,0.0825025001514192,0.4332457341624706
4321.SR,Cenomi Centers,Fitch,BB,2021,1,0.0163573659135921,0.3078581406418724,0.0256657045647793,1.167074825100584
4321.SR,Cenomi Centers,Fitch,BB,2022,1,0.0078059812649147,0.2961720244153838,0.0365069688387247,1.0867770132936718
4321.SR,Cenomi Centers,Fitch,BB,2023,1,-0.0912690069043439,0.2966230230259127,0.0595254834677867,1.064937268149597
4321.SR,Cenomi Centers,Fitch,BB,2024,1,0.0404545015813662,0.2778549430822054,0.0445639139162926,0.891938328708021
5110.SR,Saudi Electricity,Fitch,A,2021,0,-0.0655995936378185,0.0748000558133532,0.0367751031541944,1.1270477272268573
5110.SR,Saudi Electricity,Fitch,A,2022,0,-0.0251130379293687,0.0798390639175728,0.0382807629113793,1.1556435085980803
5110.SR,Saudi Electricity,Fitch,A+,2023,0,-0.0476821369441999,0.0757857656478264,0.0290732809453425,1.0484581028565396
5110.SR,Saudi Electricity,Fitch,A+,2024,0,-0.0508283335686592,0.0748047347608091,0.022115121164303,0.8502550575355645
7010.SR,Saudi Telecom (STC),Fitch,A+,2024,0,0.2104784602745314,0.2393533147354672,0.0832188778477101,1.3570190120196448
