ticker,company_name,sector,rating_agency,rating,fiscal_year,liquid,cumprof,profitab,leverage,dataset
1202.SR,MEPCO,Materials,Financial Analytics,A-,2024,0.2395839394468036,0.0720246201835277,-0.0095451729495465,1.6691931851363335,expanded_multiagency
1211.SR,Maaden,Materials,Fitch,BBB+,2023,0.1295003753540811,0.0864117659981035,0.0429329371759635,1.031909883761302,historical_fitch
1211.SR,Maaden,Materials,Fitch,BBB+,2024,0.0822994614925653,0.0873914626383562,0.0603890389782566,1.0950809143529223,historical_fitch
1211.SR,Maaden,Materials,Moodys,BBB+,2024,0.0822994614925653,0.0873914626383562,0.0603890389782566,1.0950809143529223,expanded_multiagency
2010.SR,SABIC,Materials,Fitch,A,2021,0.1788622765673726,0.0870332809978983,0.1122072308121942,1.9701385660222372,historical_fitch
2010.SR,SABIC,Materials,Fitch,A,2022,0.1872328772480135,0.1024842697189493,0.0853153200919291,2.278987802915612,historical_fitch
2010.SR,SABIC,Materials,Fitch,A+,2023,0.1623883407937302,0.0955095316434582,0.0235151280476841,1.9706019837290008,historical_fitch
2010.SR,SABIC,Materials,Fitch,A+,2024,0.1654657136792907,0.0721410800456212,0.0250313905938006,1.9544837391850087,historical_fitch
2010.SR,SABIC,Materials,Moodys,A,2024,0.1654657136792907,0.0721410800456212,0.0250313905938006,1.9544837391850087,expanded_multiagency
2010.SR,SABIC,Materials,S&P,A+,2024,0.1654657136792907,0.0721410800456212,0.0250313905938006,1.9544837391850087,expanded_multiagency
2070.SR,Perfect Presentation (2P),Software & Services,Financial Analytics,BBB+,2024,0.0801465869385842,-0.0278451747810086,0.0388609577186186,0.5492478736770672,expanded_multiagency
2070.SR,Perfect Presentation Commercial Services Company,,Tassnief,BBB+,2024,0.0801465869385842,-0.0278451747810086,0.0388609577186186,0.5492478736770672,original_tassnief
2081.SR,Alkhorayef Water & Power,Utilities,Financial Analytics,A-,2024,0.1627404785684448,0.153659852147988,0.1237813191337475,0.4839005363856031,expanded_multiagency
2081.SR,Alkhorayef for Water and Power Technologies Company,,Tassnief,A,2024,0.1627404785684448,0.153659852147988,0.1237813191337475,0.4839005363856031,original_tassnief
2082.SR,ACWA Power,Utilities,Fitch,BBB-,2021,0.1002529321662148,0.0286121910538777,0.041398378925604,0.4562218908275255,historical_fitch
2082.SR,ACWA Power,Utilities,Fitch,BBB-,2022,0.1413959241631645,0.0426003441024347,0.0547407644282265,0.695007406256873,historical_fitch
