ticker,company_name,rating_agency,rating,fiscal_year,liquid,cumprof,profitab,leverage,binary_target
1202.SR,MEPCO,Financial Analytics,A-,2024,0.239583939,0.07202462,-0.009545173,1.669193185,0
1211.SR,Maaden,Fitch,BBB+,2023,0.129500375,0.086411766,0.042932937,1.031909884,1
1211.SR,Maaden,Fitch,BBB+,2024,0.082299461,0.087391463,0.060389039,1.095080914,1
1211.SR,Maaden,Moodys,BBB+,2024,0.082299461,0.087391463,0.060389039,1.095080914,1
2010.SR,SABIC,Fitch,A,2021,0.178862277,0.087033281,0.112207231,1.970138566,0
2010.SR,SABIC,Fitch,A,2022,0.187232877,0.10248427,0.08531532,2.278987803,0
2010.SR,SABIC,Fitch,A+,2023,0.162388341,0.095509532,0.023515128,1.970601984,0
2010.SR,SABIC,Fitch,A+,2024,0.165465714,0.07214108,0.025031391,1.954483739,0
2010.SR,SABIC,Moodys,A,2024,0.165465714,0.07214108,0.025031391,1.954483739,0
2010.SR,SABIC,S&P,A+,2024,0.165465714,0.07214108,0.025031391,1.954483739,0
2070.SR,Perfect Presentation (2P),Financial Analytics,BBB+,2024,0.080146587,-0.027845175,0.038860958,0.549247874,1
2070.SR,Perfect Presentation Commercial Services Company,Tassnief,BBB+,2024,0.080146587,-0.027845175,0.038860958,0.549247874,1
2081.SR,Alkhorayef Water & Power,Financial Analytics,A-,2024,0.162740479,0.153659852,0.123781319,0.483900536,0
2081.SR,Alkhorayef for Water and Power Technologies Company,Tassnief,A,2024,0.162740479,0.153659852,0.123781319,0.483900536,0
2082.SR,ACWA Power,Fitch,BBB-,2021,0.100252932,0.028612191,0.041398379,0.456221891,1
2082.SR,ACWA Power,Fitch,BBB-,2022,0.141395924,0.042600344,0.054740764,0.695007406,1
2082.SR,ACWA Power,Fitch,BBB-,2023,0.115340157,0.059024001,0.059758302,0.603591934,1
2082.SR,ACWA Power,Fitch,BBB-,2024,0.096245984,0.085655014,0.058315,0.746127315,1
2120.SR,Middle East Paper Company,Tassnief,A,2024,0.392585356,0.354063442,0.233308066,9.758068735,0
2210.SR,Napco National,Tassnief,BBB+,2024,-0.494641216,0.005249607,0.044190405,0.285521639,1
2222.SR,Saudi Aramco,Fitch,A,2021,0.142143812,0.470914925,0.361392063,1.451968318,0
2222.SR,Saudi Aramco,Fitch,A,2022,0.197416768,0.537478078,0.466056727,2.015231435,0
2222.SR,Saudi Aramco,Fitch,A+,2023,0.159600313,0.569615891,0.361692777,2.344734682,0
2222.SR,Saudi Aramco,Fitch,A+,2024,0.097433189,0.553897253,0.327009486,2.138299181,0
2222.SR,Saudi Aramco,Moodys,AA-,2024,0.097433189,0.553897253,0.327009486,2.138299181,0
2280.SR,Almarai,Moodys,BBB-,2024,0.082814196,0.215755191,0.085511989,1.120064651,1
2280.SR,Almarai,S&P,BBB-,2024,0.082814196,0.215755191,0.085511989,1.120064651,1
2382.SR,ADES,Fitch,B+,2023,-0.040760147,0.088636182,0.06615797,0.423354802,1
2382.SR,ADES,Fitch,B+,2024,0.009715753,0.113128488,0.0825025,0.433245734,1
2382.SR,ADES,S&P,B+,2024,0.009715753,0.113128488,0.0825025,0.433245734,1
3008.SR,Al Kathiri Holding,Financial Analytics,BBB-,2024,0.278041137,-0.046543241,-0.026065897,0.641575518,1
3008.SR,Al Kathiri Holding Company (AKHC),Tassnief,BBB,2024,0.344255468,0.018350902,0.021793332,0.773711008,1
4290.SR,Alkhaleej Training,Financial Analytics,A-,2024,0.025596369,-0.012894618,0.086036762,0.360958297,0
4290.SR,Alkhaleej Training,Tassnief,BBB+,2024,0.025596369,-0.012894618,0.086036762,0.360958297,1
4321.SR,Cenomi Centers,Fitch,BB,2021,0.016357366,0.307858141,0.025665705,1.167074825,1
4321.SR,Cenomi Centers,Fitch,BB,2022,0.007805981,0.296172024,0.036506969,1.086777013,1
4321.SR,Cenomi Centers,Fitch,BB,2023,-0.091269007,0.296623023,0.059525483,1.064937268,1
4321.SR,Cenomi Centers,Financial Analytics,A-,2024,0.040454502,0.277854943,0.044563914,0.891938329,0
4321.SR,Cenomi Centers,Fitch,BB,2024,0.040454502,0.277854943,0.044563914,0.891938329,1
4321.SR,Cenomi Centers,S&P,BB-,2024,0.040454502,0.277854943,0.044563914,0.891938329,1
5110.SR,Saudi Electricity,Fitch,A,2021,-0.065599594,0.074800056,0.036775103,1.127047727,0
5110.SR,Saudi Electricity,Fitch,A,2022,-0.025113038,0.079839064,0.038280763,1.155643509,0
5110.SR,Saudi Electricity,Fitch,A+,2023,-0.047682137,0.075785766,0.029073281,1.048458103,0
