ticker,company_name,rating_date,rating,outlook,fiscal_year,rating_action,liquid,cumprof,profitab,leverage,data_available,total_assets,total_liabilities,total_equity
4263.SR,SAL Saudi Logistics Services Company,15/01/2026,A,Stable,2025,Assigned,,,,,False,,,
9596.SR,Quara Finance Company,15/12/2025,BBB,Stable,2025,Maintained,,,,,False,,,
2070.SR,Perfect Presentation for Commercial Services Company,15/12/2025,BBB+,Stable,2025,Maintained,,,,,False,,,
6004.SR,CATRION Catering Holding Company,15/12/2025,A,Stable,2025,Initial,,,,,False,,,
4007.SR,Al Hammadi Holding Company,15/12/2025,A,,2025,Initial,,,,,False,,,
4013.SR,Dr. Sulaiman Al-Habib Medical Services Group Company,15/12/2025,AA,,2025,Initial,,,,,False,,,
4004.SR,Middle East Healthcare Company,15/12/2025,BBB,,2025,Initial,,,,,False,,,
2081.SR,Alkhorayef for Water and Power Technologies Company,15/12/2025,A,Stable,2025,Maintain,,,,,False,,,
7010.SR,Saudi Telecom Company (STC),15/11/2025,AAA,Stable,2025,Maintain,,,,,False,,,
9535.SR,Ladun Investment Company,15/10/2025,BBB+,Stable,2025,Maintain,,,,,False,,,
4290.SR,Alkhaleej Training & Education Company,15/09/2025,BBB+,Stable,2025,Maintained,,,,,False,,,
9619.SR,Multi Business Group for Projects Company,15/09/2025,BB+,,2025,Withdraw,,,,,False,,,
7030.SR,Mobile Telecommunication Company Saudi Arabia (Zain Saudi Arabia),15/09/2025,A,,2025,Maintain,,,,,False,,,
7020.SR,Etihad Etisalat Company (Mobily),15/09/2025,AA,,2025,Maintain,,,,,False,,,
4321.SR,Arabian Centers Company,15/06/2025,A,Stable,2025,Initial,,,,,False,,,
9511.SR,Sumou Real Estate Company,15/04/2025,BBB+,Stable,2025,Maintain,,,,,False,,,
9578.SR,Atlas Elevators Company for General Trading and Contracting (Unsolicited Rating),15/03/2025,BB,Stable,2024,Newly Assigned,0.5911443832815138,,0.10266789521706737,,True,118422492.0,118422492.0,
9568.SR,Mayar Holding Company (Unsolicited Rating),15/03/2025,BB,Stable,2024,Newly Assigned,-0.34964638793279446,0.002173072310193956,0.07828823821899074,0.06805924327272045,True,543211100.0,508596413.0,34614687.0
8050.SR,Saudi Arabian Cooperative Insurance Co.,15/03/2025,A,Stable,2024,Assigned,,-0.0075170421163612364,,0.5177857404617452,True,745506000.0,491180000.0,254326000.0
8060.SR,Malath Cooperative Insurance Company (Malath),15/03/2025,A,Stable,2024,Assigned,,0.024715935855312506,,0.6200146504209022,True,4765913000.0,2941895000.0,1824018000.0
9596.SR,Quara Finance Company,15/11/2024,BBB,Stable,2024,Maintain,0.8077898269634161,0.12808404026280423,0.060336799472430695,1.098654151646499,True,877264082.0,418012697.0,459251385.0
7010.SR,Saudi Telecom Company,15/10/2024,AAA,Stable,2024,Maintain,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448,True,160638143000.0,68153096000.0,92485047000.0
2070.SR,Perfect Presentation Commercial Services Company,15/10/2024,BBB+,Stable,2024,Maintain,0.08014658693858424,-0.027845174781008616,0.038860957718618645,0.5492478736770672,True,4319348000.0,2788029000.0,1531319000.0
2120.SR,Middle East Paper Company,15/10/2024,A,Stable,2024,Assigned,0.3925853555160754,0.3540634422434639,0.23330806647086932,9.758068734776355,True,1356829855.0,126122066.0,1230707789.0
2081.SR,Alkhorayef for Water and Power Technologies Company,15/09/2024,A,Stable,2024,Maintain,0.1627404785684448,0.15365985214798808,0.12378131913374758,0.4839005363856031,True,2380380053.0,1604137201.0,776242852.0
9619.SR,Multi Business Group for Projects Company,15/09/2024,BB+,Stable,2024,Assigned,0.7788510408510891,0.2920126838050294,0.20904395728068315,3.27344370038947,True,115272349.0,26974112.0,88298237.0
9535.SR,Ladun Investment Company,15/09/2024,BBB+,Stable,2024,Maintain,0.00584895805804586,0.051157432594480454,0.03411926780573487,0.2670089151055785,True,3012816441.0,2377896797.0,634919644.0
4290.SR,AlKhaleej Training & Education,15/09/2024,BBB+,Stable,2024,Maintain,0.02559636906571332,-0.01289461797461858,0.0860367617468628,0.3609582967261378,True,2151095058.0,1580573823.0,570521235.0
2210.SR,Napco National,15/08/2024,BBB+,,2024,Withdraw,-0.49464121623465834,0.005249606506964599,0.044190405138609626,0.28552163900412514,True,1099130000.0,855007000.0,244123000.0
7030.SR,Mobile Telecommunications Company Saudi Arabia,15/08/2024,A,,2024,Maintain,-0.19438789362648082,0.05960339516029256,0.044824323297919307,0.6143248600692746,True,28135461000.0,17428624000.0,10706837000.0
7020.SR,Etihad Etisalat Company,15/08/2024,AA,,2024,Maintain,-0.02376921548648491,0.2907478348451415,0.09839198351355216,0.9610966369062894,True,38515028000.0,19639536000.0,18875492000.0
9511.SR,Sumou Real Estate Company,15/12/2023,BBB+,Stable,2023,Maintain,,,,,False,,,
3008.SR,Al Kathiri Holding Company (AKHC),15/11/2023,BBB,,2023,Withdraw,0.34425546817136066,0.018350902438371463,0.021793332390630284,0.7737110081103302,True,300971411.0,169684582.0,131286829.0
9596.SR,Quara Finance Company,15/11/2023,BBB,Stable,2023,Assigned,0.7840064687206838,0.09033918879739374,0.08291227500762595,1.0535744810315566,True,765084820.0,372562489.0,392522331.0
2070.SR,Perfect Presentation Commercial Services Company,15/11/2023,BBB+,Stable,2023,Maintain,0.12827147151604357,-0.03490875208014129,0.02050198595836986,0.6408026379711063,True,3880746000.0,2365151000.0,1515595000.0
7010.SR,Saudi Telecom Company,15/09/2023,AAA,Stable,2023,Maintain,0.14502933990731698,0.17208262996144297,0.09430337968845282,1.043317964257918,True,159645869000.0,78130703000.0,81515166000.0
2081.SR,Alkhorayef for Water and Power Technologies Company,15/09/2023,A,Stable,2023,Assigned,0.28655837579163096,0.13852093029371634,0.11547556263306949,0.4616737853536782,True,1702028910.0,1164438281.0,537590629.0
2210.SR,Napco National,15/08/2023,BBB+,Stable,2023,Assigned,-0.19892278325330973,-0.005905236293826452,-0.12257559228557163,0.29498094313792284,True,1007411000.0,777935000.0,229476000.0
7020.SR,Etihad Etisalat Company,15/08/2023,AA,,2023,Assigned,-0.043632031808291234,0.18634970792208128,0.08005506776479242,0.8285822830459388,True,38890992000.0,21268385000.0,17622607000.0
7030.SR,Mobile Telecommunications Company Saudi Arabia,15/08/2023,A,,2023,Assigned,-0.04574809651697012,0.04846426898566715,0.0753578974712465,0.6309369521741234,True,27378232000.0,16786812000.0,10591420000.0
4290.SR,AlKhaleej Training & Education,15/06/2023,BBB+,Stable,2023,Assigned,0.006647588325573536,-0.09274120710620541,0.03421917505540064,0.3227660777558877,True,2068649460.0,1563881547.0,504767913.0
9535.SR,Ladun Investment Company,15/02/2023,BBB+,Stable,2022,Assigned,0.013932511014124342,,0.33104124087498016,1.9943182284372525,True,276783919.0,276783919.0,
8200.SR,Cooperative Reinsurance Company (Saudi Re),15/01/2023,AA+,,2022,Withdraw,,0.0420265043773326,0.041011691917967365,0.8210465396740962,True,2256070054.0,1238886544.0,1017183510.0
3008.SR,Al Kathiri Holding Company (AKHC),15/11/2022,BBB,Stable,2022,Maintain,0.019798369165779244,0.048077622716871764,0.029120129135158143,2.0386950340835344,True,201889558.0,66439559.0,135449999.0
9511.SR,Sumou Real Estate Company,15/10/2022,BBB+,Stable,2022,Assigned,,,,,False,,,
2070.SR,Perfect Presentation Commercial Services Company,15/10/2022,BBB+,Stable,2022,Upgraded,0.13752038232119407,-0.046741542772079196,-0.025641795189250242,0.7916702514859856,True,3831752000.0,2138648000.0,1693104000.0
7010.SR,Saudi Telecom Company,15/10/2022,AAA,Stable,2022,Maintain,0.17774584964612955,0.07982853168342402,0.1032407844728974,1.2423620372807351,True,137219986000.0,61194394000.0,76025592000.0
8200.SR,Cooperative Reinsurance Company (Saudi Re),15/11/2021,AA+,Stable,2021,Maintain,,0.012983133141844174,,0.8456041287499878,True,2084097090.0,1129222165.0,954874925.0
3008.SR,Al Kathiri Holding Company (AKHC),15/10/2021,BBB,Stable,2021,Assigned,-0.06489906547696053,0.04649007496522443,0.06657165791693828,2.83274483147316,True,181216292.0,47281074.0,133935218.0
7010.SR,Saudi Telecom Company,15/09/2021,AAA,Stable,2021,Maintain,0.14014402648276286,0.2972670551470743,0.10372577455099831,1.26585612673588,True,127779417000.0,56393438000.0,71385979000.0
