company_name,company_code,agency,rating,action,announcement_date,fiscal_year,ticker,liquid,cumprof,profitab,leverage
Saudi Reinsurance Company,8200,S&P,A-,affirmed,2025,2024,8200.SR,,0.17121780374292578,,0.892284296198621
Al Rajhi Takaful,8230,S&P,A-,affirmed,2025,2024,8230.SR,,0.05445733729326728,,0.20789734607297186
Wataniya Insurance,8300,S&P,BBB,assigned,2024,2024,8300.SR,,0.027728307090708264,,0.3997107241861331
Mutakamela Insurance,8040,Moodys,A-,affirmed,2025,2024,8040.SR,,0.054322755372250814,,0.6582271867303875
Rawabi Holding Company,9524,Tassnief,B+,downgraded,02/2026,2025,9524.SR,,,,
Dar Al Arkan Real Estate,4300,Tassnief,A-,maintained,01/2026,2025,4300.SR,,,,
SAL Saudi Logistics Services,4263,Tassnief,A,assigned,01/2026,2025,4263.SR,,,,
Quara Finance Company,4291,Tassnief,BBB-,maintained,12/2025,2025,4291.SR,,,,
Pharma Medical Company,4016,Tassnief,BBB-,maintained,12/2025,2025,4016.SR,,,,
Perfect Presentation (2P),2133,Tassnief,BBB+,maintained,12/2025,2025,2133.SR,,,,
CATRION Catering Holding,6004,Tassnief,A-,initial,12/2025,2025,6004.SR,,,,
Saudi Telecom Company (STC),7010,Tassnief,AAA,maintained,11/2025,2025,7010.SR,,,,
Etihad Etisalat (Mobily),7020,Tassnief,AA-,maintained,11/2025,2024,7020.SR,-0.02376921548648491,0.2907478348451415,0.09839198351355216,0.9610966369062894
Alkhorayef Water & Power,2081,Tassnief,A-,maintained,12/2025,2024,2081.SR,0.1627404785684448,0.15365985214798808,0.12378131913374758,0.4839005363856031
SRACO Company,1183,Tassnief,A-,upgraded,09/2025,2024,1183.SR,,0.12329634846117186,,0.5972187276724813
Ejada Systems Company,8141,Tassnief,A+,upgraded,09/2025,2024,8141.SR,,,,
Sumou Real Estate Company,9511,Tassnief,BBB+,maintained,07/2025,2024,9511.SR,,,,
Safa Investment Company,8250,Tassnief,BBB+,maintained,05/2025,2024,8250.SR,,0.1440529784700126,,0.6477656255850178
Saudi Telecom Company (STC),7010,Tassnief,AAA,maintained,11/2024,2024,7010.SR,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448
Saudi Telecom Company (STC),7010,Tassnief,AAA,maintained,11/2023,2023,7010.SR,0.14502933990731698,0.17208262996144297,0.09430337968845282,1.043317964257918
Saudi Telecom Company (STC),7010,Tassnief,AAA,maintained,11/2022,2022,7010.SR,0.17774584964612955,0.07982853168342402,0.1032407844728974,1.2423620372807351
