ticker,company_name,fiscal_year,rating,kam_going_concern,kam_revenue,kam_assets,kam_liabilities,kam_other,kam_count,kam_descriptions,extracted,notes
7010.SR,Saudi Telecom Company (STC),2025,AAA,,,,,,,,,
7010.SR,Saudi Telecom Company,2024,AAA,,,,,,,,,
7010.SR,Saudi Telecom Company,2023,AAA,,,,,,,,,
7010.SR,Saudi Telecom Company,2022,AAA,,,,,,,,,
7010.SR,Saudi Telecom Company,2021,AAA,,,,,,,,,
7020.SR,Etihad Etisalat Company (Mobily),2025,AA,,,,,,,,,
7020.SR,Etihad Etisalat Company,2024,AA,,,,,,,,,
7020.SR,Etihad Etisalat Company,2023,AA,,,,,,,,,
7030.SR,Zain Saudi Arabia,2025,A,,,,,,,,,
7030.SR,Zain Saudi Arabia,2024,A,,,,,,,,,
7030.SR,Zain Saudi Arabia,2023,A,,,,,,,,,
2081.SR,Alkhorayef Water & Power,2025,A,,,,,,,,,
2081.SR,Alkhorayef Water & Power,2024,A,,,,,,,,,
2081.SR,Alkhorayef Water & Power,2023,A,,,,,,,,,
7204.SR,Perfect Presentation (2P),2025,BBB+,,,,,,,,,
7204.SR,Perfect Presentation (2P),2024,BBB+,,,,,,,,,
7204.SR,Perfect Presentation (2P),2023,BBB+,,,,,,,,,
7204.SR,Perfect Presentation (2P),2022,BBB+,,,,,,,,,
9596.SR,Quara Finance,2025,BBB,,,,,,,,,
9596.SR,Quara Finance,2024,BBB,,,,,,,,,
9596.SR,Quara Finance,2023,BBB,,,,,,,,,
9535.SR,Ladun Investment,2025,BBB+,,,,,,,,,
9535.SR,Ladun Investment,2024,BBB+,,,,,,,,,
9535.SR,Ladun Investment,2022,BBB+,,,,,,,,,
4290.SR,Alkhaleej Training & Education,2025,BBB+,,,,,,,,,
4290.SR,Alkhaleej Training & Education,2024,BBB+,,,,,,,,,
4290.SR,Alkhaleej Training & Education,2023,BBB+,,,,,,,,,
9511.SR,Sumou Real Estate,2025,BBB+,,,,,,,,,
9511.SR,Sumou Real Estate,2023,BBB+,,,,,,,,,
9511.SR,Sumou Real Estate,2022,BBB+,,,,,,,,,
3008.SR,Al Kathiri Holding (AKHC),2023,BBB,,,,,,,,,Withdrawn
3008.SR,Al Kathiri Holding (AKHC),2022,BBB,,,,,,,,,
3008.SR,Al Kathiri Holding (AKHC),2021,BBB,,,,,,,,,
8200.SR,Saudi Re,2022,AA+,,,,,,,,,Withdrawn
8200.SR,Saudi Re,2021,AA+,,,,,,,,,
2210.SR,Napco National,2024,BBB+,,,,,,,,,Withdrawn
2210.SR,Napco National,2023,BBB+,,,,,,,,,
9619.SR,Multi Business Group,2025,BB+,,,,,,,,,Withdrawn
9619.SR,Multi Business Group,2024,BB+,,,,,,,,,
4263.SR,SAL Saudi Logistics,2025,A,,,,,,,,,
6004.SR,CATRION Catering,2025,A,,,,,,,,,
4007.SR,Al Hammadi Holding,2025,A,,,,,,,,,
4013.SR,Dr. Sulaiman Al-Habib,2025,AA,,,,,,,,,
4004.SR,Middle East Healthcare,2025,BBB,,,,,,,,,
4321.SR,Arabian Centers (Cenomi),2025,A,,,,,,,,,
9578.SR,Atlas Elevators,2024,BB,,,,,,,,,
9568.SR,Mayar Holding,2024,BB,,,,,,,,,
8050.SR,SAICO Insurance,2024,A,,,,,,,,,
8060.SR,Malath Insurance,2024,A,,,,,,,,,
2120.SR,MEPCO (Middle East Paper),2024,A,,,,,,,,,
