ticker,company_name,rating_date,rating,outlook,rating_type,is_solicited,rating_basis,fiscal_year_applicable,source_url,pdf_link,rating_action
4263.SR,SAL Saudi Logistics Services Company,15/01/2026,A,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2026/01/SAL-Public-Rating-Summary-2026-EN-2.pdf,Assigned
9596.SR,Quara Finance Company,15/12/2025,BBB,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2026/01/Quara-Finance-Public-Summary-Report-2025-EN.pdf,Maintained
2070.SR,Perfect Presentation for Commercial Services Company,15/12/2025,BBB+,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/Public-Rating-Summary-2P-For-Tassnief-Website-EN.pdf,Maintained
6004.SR,CATRION Catering Holding Company,15/12/2025,A,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/CATRION-Solicited-Rating-Rationale-EN.pdf,Initial
4007.SR,Al Hammadi Holding Company,15/12/2025,A,,Credit Rating,no,pi,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/Al-Hammadi-AHC-Unsolicted-Public-Rating-2025-EN.pdf,Initial
4013.SR,Dr. Sulaiman Al-Habib Medical Services Group Company,15/12/2025,AA,,Credit Rating,no,pi,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/HMG-Unsolicted-Public-Report-2025-EN-2.pdf,Initial
4004.SR,Middle East Healthcare Company,15/12/2025,BBB,,Credit Rating,no,pi,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/Middle-East-Healthcare-Compnay-Unsolicted-Public-Report-2025-EN-2.pdf,Initial
2081.SR,Alkhorayef for Water and Power Technologies Company,15/12/2025,A,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/12/AWPT_Public-Report-For-Tassnief-Website.pdf,Maintain
7010.SR,Saudi Telecom Company (STC),15/11/2025,AAA,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/11/STC-Public-Rating-Summary-2025-EN.pdf,Maintain
9535.SR,Ladun Investment Company,15/10/2025,BBB+,Stable,Credit Rating,yes,full,2025,https://tassnief.com/find-rating,https://api.tassnief.com/wp-content/uploads/2025/10/Ladun-Public-Rating-Summary-2025-English.pdf,Maintain
