company_name,ticker,sector
Saudi Telecom Company (STC),7010.SR,Telecom
Saudi Aramco,2222.SR,Energy
Al Rajhi Bank,1120.SR,Banking
Saudi National Bank (SNB),1180.SR,Banking
SABIC,2010.SR,Materials
Saudi Electricity Company (SEC),5110.SR,Utilities
Riyad Bank,1010.SR,Banking
Banque Saudi Fransi,1050.SR,Banking
Saudi British Bank (SABB),1060.SR,Banking
Arab National Bank,1080.SR,Banking
Alinma Bank,1150.SR,Banking
Bank Albilad,1140.SR,Banking
Bank AlJazira,1020.SR,Banking
ACWA Power,2082.SR,Utilities
Ma'aden (Saudi Arabian Mining Company),1211.SR,Materials
Jarir Marketing,4190.SR,Retail
Extra (United Electronics Company),4003.SR,Retail
Dr. Sulaiman Al-Habib Medical Services Group Company,4013.SR,Healthcare
Middle East Healthcare Company (MEHC),4004.SR,Healthcare
Al Hammadi Holding Company,4007.SR,Healthcare
Quara Finance Company,4322.SR,Finance
CATRION Catering Holding Company,6004.SR,Consumer Services
SAL Saudi Logistics Services Company,4031.SR,Transportation
Alkhorayef for Water and Power Technologies Company,2081.SR,Utilities
Perfect Presentation for Commercial Services Company (2P),1833.SR,Commercial Services
Pharma Medical Company,4018.SR,Healthcare
